"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon","count","type"
"University of Kansas, Biodiversity Institute and Natural History Museum, Snow Entomological Museum","Entomology","568e209f-d072-4fd6-8b64-27954b0fd731, 2e65e24b-b7e2-40a4-a40c-09edafc1e3f4","{""recordset"":[""568e209f-d072-4fd6-8b64-27954b0fd731"",""2e65e24b-b7e2-40a4-a40c-09edafc1e3f4""]}","KU","SEMC","urn:uuid:b808e843-55d5-4662-b20e-0227015e2fad","http://grbio.org/cool/w1p5-wh4s","http://entomology.biodiversity.ku.edu/","http://entomology.biodiversity.ku.edu/collections-search","","",NA,NA,"","","","Michael Engel","Curator-in-charge","msengel@ku.edu","Natural History Museum, 1345 Jayhawk Boulevard","Lawrence","Kansas","66045","Natural History Museum, 1345 Jayhawk Boulevard","Lawrence","Kansas","66045","urn:uuid:356736e8-9e70-4516-bf04-1ad72ca6604f","","","","","","",38.9574,-95.2459,1349824,"arthropoda"
"California Academy of Sciences","Entomology","87c45c90-ba1d-409e-a9d7-9baf5a5cbb1c, ded380b5-1ba2-4089-8e0c-0aa1b4140785, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":[""87c45c90-ba1d-409e-a9d7-9baf5a5cbb1c"",""ded380b5-1ba2-4089-8e0c-0aa1b4140785""]},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""cas""}]","CAS","ENT","urn:uuid:402c39b4-53e9-4c92-acbb-cd287623366a","http://grbio.org/cool/fazv-d9yv","http://www.calacademy.org/scientists/entomology-collection","https://monarch.calacademy.org/collections/misc/collprofiles.php?collid=3","Coleoptera, Embiidina, Diptera, Hymenoptera, Neuropteroida, Arachnida Western North America, Baja California, Galapagos Islands, western South America, the Philippines, the Indo-Australian region, Africa, Madagascar","",10000000,NA,"Coleoptera, Embiidina, Diptera, Hymenoptera, Neuropteroida, Arachnida","Western North America, Baja California, Galapagos Islands, western South America, the Philippines, the Indo-Australian region, Africa, Madagascar","10000000","Chris Grinter","Collections Manager","cgrinter@calacademy.org","California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","urn:uuid:702bbb12-b872-4bdf-b862-c3e9a55c42cb","","","","","","",37.7848,-122.464,912011,"arthropoda"
"University of Illinois, Illinois Natural History Survey","Insects","dde625e8-cc2a-4877-9ec4-0b8a20dfded9, 57b1a2a3-78ab-4e69-a77e-a8fd4394ee5a","{""recordset"":[""dde625e8-cc2a-4877-9ec4-0b8a20dfded9"",""57b1a2a3-78ab-4e69-a77e-a8fd4394ee5a""]}","INHS","Insect Collection","urn:uuid:adc89d3d-9aae-4175-904e-78b79571be54","http://grbio.org/cool/6fqq-t4za","http://wwx.inhs.illinois.edu/collections/insect","http://inhsinsectcollection.speciesfile.org/InsectCollection.aspx","Coleoptera, Collembola, Diptera, Hemiptera (Auchenorrhyncha), Hymenoptera (Apoidea), Lepidoptera, Plecoptera, Psocodea (Psocoptera + Phthiraptera), Thysanoptera and Trichoptera. Specimen holdings emphasize the upper midwestern USA but are global in scope for certain groups.","",1000000,TRUE,"Coleoptera, Collembola, Diptera, Hemiptera (Auchenorrhyncha), Hymenoptera (Apoidea), Lepidoptera, Plecoptera, Psocodea (Psocoptera + Phthiraptera), Thysanoptera and Trichoptera.","Specimen holdings emphasize the upper midwestern USA but are global in scope for certain groups.","7000000","Dmitry Dmitriev","Curator, data provider","arboridia@gmail.com","1816 South Oak Street, MC 652","Champaign","Illinois","61820","1816 South Oak Street, MC 652","Champaign","Illinois","61820","urn:uuid:d0689818-af23-4395-8251-82df8f68b028","","","","","","",40.132,-88.2332,667956,"arthropoda"
"University of Central Florida, The Bug Closet","Arthropods","84006c59-fead-4b84-b3b5-cedf28f67ea9","{""recordset"":""84006c59-fead-4b84-b3b5-cedf28f67ea9""}","UCFC","Arthropods","urn:uuid:65042982-cbce-4125-bf21-d0c5294bcc96","","http://bugcloset.cos.ucf.edu/","http://bugcloset.cos.ucf.edu/database/holdings/","","",NA,NA,"","","","Barbara Sharanowski","Curator","Barbara.Sharanowski@ucf.edu","Department of Biology, 4000 Central Florida Blvd.","Orlando","Florida","32816-2368","Department of Biology, 4000 Central Florida Blvd.","Orlando","Florida","32816-2368","urn:uuid:7bfc97ce-e937-4f27-8d70-464a06e70ec0","","","","","","",28.5989,-81.203,564020,"arthropoda"
"Texas A&M University, Department of Entomology","Entomology","a3b77120-3770-46dd-ba47-6941eff848b3, 9d8291f9-5c59-4630-8dea-4ac6cc0b1f78","{""recordset"":[""a3b77120-3770-46dd-ba47-6941eff848b3"",""9d8291f9-5c59-4630-8dea-4ac6cc0b1f78""]}","TAMU","TAMUIC","urn:uuid:5058bd44-803b-45fe-857a-49cd809fc32d","","https://insects.tamu.edu/tamuinsectcollection/","","Primarily insects and spiders; lesser holdings of other terrestrial and freshwater arthropod groups; particular insect strengths in Coleoptera, parasitic Hymenoptera, and Neuroptera. Primarily the southern United States and Mexico; lesser holdings for the rest of the United States; some international holdings from exchanges and faculty research.","",NA,NA,"Primarily insects and spiders; lesser holdings of other terrestrial and freshwater arthropod groups; particular insect strengths in Coleoptera, parasitic Hymenoptera, and Neuroptera.","Primarily the southern United States and Mexico; lesser holdings for the rest of the United States; some international holdings from exchanges and faculty research.","","John D. Oswald","Curator","j-oswald@tamu.edu","Department of Entomology, 412 Minnie Belle Heep Bldg, 2475 TAMU","College Station","Texas","77843-2475","Department of Entomology, 412 Minnie Belle Heep Bldg, 2475 TAMU","College Station","Texas","77843-2475","urn:uuid:67ed2c89-ad4a-402e-8296-78107b9f148b","","","","","","",30.7863,-96.7217,548585,"arthropoda"
"Ohio State University, Museum of Biological Diversity, C. A. Triplehorn Insect Collection","Insects","fc628e53-5fdf-4436-9782-bf637d812b48","{""recordset"":""fc628e53-5fdf-4436-9782-bf637d812b48""}","OSU","","urn:uuid:eb66c58e-5c64-4c78-80cf-2f31e7605664","","http://osuc.osu.edu/","http://osuc.osu.edu/search.html","","",NA,NA,"","","","Norman F. Johnson","Director","johnson.2@osu.edu","1315 Kinnear Road","Columbus","Ohio","43212","","Columbus","Ohio","43212","urn:uuid:5f0e4e8a-184f-49fb-95b5-09af872598f2","","","","","","",39.9871,-83.0428,498716,"arthropoda"
"Smithsonian Institution National Museum of Natural History","Entomology","a6eee223-cf3b-4079-8bb2-b77dad8cae9d, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":""a6eee223-cf3b-4079-8bb2-b77dad8cae9d"",""collectioncode"":""entomology""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""usnm""}]","USNM","Entomology","urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad","http://grbio.org/cool/1wcv-afpg","http://entomology.si.edu/Collections.html","http://collections.nmnh.si.edu/search/ento/","","",NA,NA,"","","","Floyd Shockley","Curator","bradys@si.edu","National Museum of Natural History, MRC 188, PO BOX 37012","Suitland","Maryland","20746","10th Street and Constitution Avenue, NW","Suitland","Maryland","20746","urn:uuid:4fcd6058-bf89-4770-a692-60334160e449","","","","","","",38.8304,-76.9017,491153,"arthropoda"
"Field Museum of Natural History","Insects, Arachnids and Myriapods","32d433aa-9e2b-4ff9-bc55-5c3e30112207","{""recordset"":""32d433aa-9e2b-4ff9-bc55-5c3e30112207""}","FMNH","INS","urn:uuid:46eaf2eb-94e9-4ef9-acd2-6681360da7f0","http://grbio.org/cool/n9zv-z18s","https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods","http://emuweb.fieldmuseum.org/arthropod/arthropod.php","Coleoptera: Staphylinidae, Ptiliidae; Silphidae, Histeridae, Dryopoidea; Lepidoptera; Vertebrate Ectoparasites; Formicidae; Arachnida; Myriapoda. Worldwide","",4100000,NA,"Coleoptera: Staphylinidae, Ptiliidae; Silphidae, Histeridae, Dryopoidea; Lepidoptera; Vertebrate Ectoparasites; Formicidae; Arachnida; Myriapoda.","Worldwide","4100000","Crystal A. Maier","Collection Manager","cmaier@fieldmuseum.org","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","urn:uuid:ea4f0640-ef20-40aa-b359-166f07c7492a","","","","","","",41.8691,-87.6176,422650,"arthropoda"
"USGS PWRC Native Bee Inventory and Monitoring Lab","Bees","a549ceb3-f2ba-4eea-b597-94dd392c1914, 7c3067c3-c229-4e73-b4aa-c187997ee530","{""recordset"":[""a549ceb3-f2ba-4eea-b597-94dd392c1914"",""7c3067c3-c229-4e73-b4aa-c187997ee530""]}","BIML","BIML, USGS_DRO","urn:uuid:80e2b27e-1f2b-489b-b899-65150e67e2ed","","","","All captured specimens identified to species, but there is a huge backlog of specimens so some collection events are incomplete.   Worldwide, but concentrated in North America north of Mexico and, in particular, in Eastern United States.","",350000,NA,"All captured specimens identified to species, but there is a huge backlog of specimens so some collection events are incomplete.","Worldwide, but concentrated in North America north of Mexico and, in particular, in Eastern United States.","Approximately 15,000 collection events and 350,000 specimens in the main database (some of which is not available only from BIML","Sam Droege","","sdroege@usgs.gov","USGS PWRC BLDG 308 RM 124, 10300 Baltimore Avenue","Beltsville","Maryland","20705","USGS PWRC BLDG 308 RM 124, 10300 Baltimore Avenue","Beltsville","Maryland","20705","","","","","","","",39.0263,-76.9255,329917,"arthropoda"
"Yale University, Peabody Museum of Natural History","Entomology","6b5e29d3-b462-44d8-ba38-d68af5088067","{""recordset"":""6b5e29d3-b462-44d8-ba38-d68af5088067""}","YPM","","urn:uuid:c6bf5b1f-f03b-4795-b92a-0c490a53af3d","","http://peabody.yale.edu/collections/entomology","http://peabody.yale.edu/collections/search-collections?ent","","",NA,NA,"","","","Raymond J. Pupedis","Senior Collections Manager","raymond.pupedis@yale.edu","Yale University, PO Box 208118","New Haven","Connecticut","06511-0000","170-210 Whitney Avenue","New Haven","Connecticut","06511-0000","urn:uuid:8eb8c789-898c-4e9e-9c26-68768c612a6d","","","","","","",41.3167,-72.9204,313910,"arthropoda"
