"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon","count","type"
"William and Lynda Steere Herbarium of the New York Botanical Garden","Herbarium","00d9fcc1-c8e2-4ef6-be64-9994ca6a32c3, ec4289d8-1114-43b9-9f04-ad809aa1dbe3, 29d217e3-754b-4a72-9e57-5cd05312e7c0, 36d35b23-113e-4633-90ec-19d265a3b5f6","{""recordset"":[""00d9fcc1-c8e2-4ef6-be64-9994ca6a32c3"",""ec4289d8-1114-43b9-9f04-ad809aa1dbe3"",""29d217e3-754b-4a72-9e57-5cd05312e7c0"",""36d35b23-113e-4633-90ec-19d265a3b5f6""]}","NY<IH>","","urn:uuid:05d096c8-71a4-40b0-a863-312223b60b99","urn:lsid:biocol.org:col:15556","http://www.nybg.org/","","","",NA,NA,"","","","Barbara M. Thiers","Director","bthiers@nybg.org","New York Botanical Garden, 2900 Southern Blvd.","Bronx","New York","10458-5126","200th Street (Bedford Park Boulevard) and Southern Boulevard (Kazimiroff Boulevard), New York Botanical Garden, 2900 Southern Blvd.","Bronx","New York","10458-5126","urn:uuid:6af808fe-94a2-4998-a8b3-da8e9e67df29","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125525","","",40.8571,-73.8808,3490135,"plantae"
"Smithsonian Institution National Museum of Natural History, United States National Herbarium","Herbarium","a6eee223-cf3b-4079-8bb2-b77dad8cae9d","{""recordset"":""a6eee223-cf3b-4079-8bb2-b77dad8cae9d"",""collectioncode"":""Botany""}","US","Botany","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8","http://grbio.org/cool/i75d-97nn","http://botany.si.edu/","http://collections.mnh.si.edu/search/botany/","Plants, algae, lichens, diatoms Global","",5000000,NA,"Plants, algae, lichens, diatoms","Global","5,000,000","Laurence J. Dorr","Chair of Botany, Research Botanist & Curator","dorrl@si.edu","National Museum of Natural History, MRC 166, PO BOX 37012","Washington","DC","20013-7012","10th Street and Constitution Avenue, NW","Washington","DC","20013-7012","urn:uuid:4fcd6058-bf89-4770-a692-60334160e449","","","","","","",38.8304,-76.9017,2692881,"plantae"
"University of Michigan","Herbarium","b880344e-22b2-4540-a56a-1de5f5601a20, 0e0e9bbc-1dea-4de4-95ae-aecc90844bbf, 3feab0ae-cfc3-40fb-b681-018c410f1996, ab820732-0844-4323-ba14-c58c24f3fc7e, 1e6c8187-1521-4501-b205-ac8f513d5e04","{""recordset"":[""b880344e-22b2-4540-a56a-1de5f5601a20"",""0e0e9bbc-1dea-4de4-95ae-aecc90844bbf"",""3feab0ae-cfc3-40fb-b681-018c410f1996"",""ab820732-0844-4323-ba14-c58c24f3fc7e"",""1e6c8187-1521-4501-b205-ac8f513d5e04""]}","MICH<IH>","","urn:uuid:bfc9b8b1-850a-4605-b4fb-e5c3ecd38fe1","urn:lsid:biocol.org:col:15602","http://herbarium.lsa.umich.edu","http://quod.lib.umich.edu/cgi/i/image/image-idx?xc=1;page=searchgroup;g=herb-ic","","",NA,NA,"","","","Paul E. Berry","Curator","peberry@umich.edu","3600 Varsity Drive","Ann Arbor","Michigan","48108-2228","3600 Varsity Drive","Ann Arbor","Michigan","48108-2228","urn:uuid:64010831-b270-4db3-a6ed-27b99be98193","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126733","","",42.2331,-83.7259,718874,"plantae"
"Rancho Santa Ana Botanic Garden","Herbarium","a4e6033a-d1eb-46d3-869d-7c0328f09aa7","{""recordset"":""a4e6033a-d1eb-46d3-869d-7c0328f09aa7""}","RSA<IH>, POM<IH>","RSA-POM","urn:uuid:79d6bda5-7226-40b6-9bad-e4567cb6a6ca","urn:lsid:biocol.org:col:15601","http://rsabg.org/collections/120","http://rsabg.org/hidden-herbarium/985-databasea","","",520000,TRUE,"Cactaceae; Crossosomataceae; Goodeniaceae; Midaceae; Poaceae; Polemoniaceae; Restionaceae; Stylidiaceae; Arctostaphylos; Astragalus; Camissonia; Ceanothus, Cupressus; Iris; Ranunculus; aquatic phanerogams","California, notably southern California. Other notable holdings include southwest U.S., Mexico, Australia, Russia, and other regions of arid, semi-arid, and Mediterranean climates.","","Mare Nazaire","Administrative Curator","mnazaire@rsabg.org","1500 North College Avenue","Claremont","California","91711","1500 North College Avenue","Claremont","California","91711","urn:uuid:6d1f2ef2-d820-47a7-85c8-24aa11c6f27a","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125756","","",34.1103,-117.7148,612870,"plantae"
"Field Museum of Natural History","Seed Plants","205fa34c-2fcb-4492-b992-972b18560f6f","{""recordset"":""205fa34c-2fcb-4492-b992-972b18560f6f""}","F","Botany","urn:uuid:67a9baa9-2de0-475c-9cd9-afd0ca225811","http://grbio.org/cool/90as-ki3a","http://fieldmuseum.org/explore/department/botany/seedplants","http://emuweb.fieldmuseum.org/botany/detailed.php","Rubiaceae, Asteraceae, Palmae, Fabaceae, Piperaceae and Solanaceae Central America: Guatemala, Honduras and Costa Rica; South America: Venezuela, Colombia, Ecuador and Peru; North America: Missouri, Illinois","",2700000,NA,"Rubiaceae, Asteraceae, Palmae, Fabaceae, Piperaceae and Solanaceae","Central America: Guatemala, Honduras and Costa Rica; South America: Venezuela, Colombia, Ecuador and Peru; North America: Missouri, Illinois","2700000","Christine Niezgoda","Collections Manager","cniezgoda@fieldmuseum.org","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","1400 S Lake Shore Drive","Chicago","Illinois","60605-2496","urn:uuid:ea4f0640-ef20-40aa-b359-166f07c7492a","","","","","","",41.8691,-87.6176,585367,"plantae"
"California Academy of Sciences","Botany","1ffce054-8e3e-4209-9ff4-c26fa6c24c2f, 8dc14464-57b3-423e-8cb0-950ab8f36b6f, 26f7cbde-fbcb-4500-80a9-a99daa0ead9d","{""recordset"":[""1ffce054-8e3e-4209-9ff4-c26fa6c24c2f"",""8dc14464-57b3-423e-8cb0-950ab8f36b6f"",""26f7cbde-fbcb-4500-80a9-a99daa0ead9d""]}","CAS","DS","urn:uuid:b7bf795c-316a-4688-a9ae-2b74b2b50011","urn:lsid:biocol.org:col:15690","http://research.calacademy.org/botany","http://collections.calacademy.org/bot/","Acanthaceae, Brassicaceae, Carex, Eriogonum, Hydrophyllaceae, Lupinus, Madinae, Malvaceae, Melastomataceae, Onagraceae, Penstemon, Poaceae, Polemoniaceae, Quercus North and Latin America, Galapagos Islands","",2000000,NA,"Acanthaceae, Brassicaceae, Carex, Eriogonum, Hydrophyllaceae, Lupinus, Madinae, Malvaceae, Melastomataceae, Onagraceae, Penstemon, Poaceae, Polemoniaceae, Quercus","North and Latin America, Galapagos Islands","2000000","Frank Almeda","Senior Curator","falmeda@calacademy.org","California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","urn:uuid:702bbb12-b872-4bdf-b862-c3e9a55c42cb","","","","","","",37.7848,-122.464,565051,"plantae"
"Carnegie Museum of Natural History","Botany","db6c3db9-1e6d-4def-af29-33aa0339bfa9","{""recordset"":""db6c3db9-1e6d-4def-af29-33aa0339bfa9""}","CM<IH>","","urn:uuid:a1270e85-b4f8-410b-aae1-ce05752bb524","urn:lsid:biocol.org:col:15688","http://www.carnegiemnh.org/botany/collection.html","http://www.carnegiemnh.org/science/default.aspx?id=8919","","",NA,NA,"","","","Bonnie Isaac","Collection Manager","IsaacB@carnegiemnh.org","Section of Botany, 4400 Forbes Avenue, 4400 Forbes Avenue","Pittsburgh","Pennsylvania","15213-4080","Herbarium - Section of Botany, Carnegie Museum of Natural History, 4400 Forbes Avenue","Pittsburgh","Pennsylvania","15213-4080","urn:uuid:806b335a-9236-425e-a8be-21eb9772e657","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124195","","",40.4371,-79.9733,525874,"plantae"
"University of Wisconsin, Wisconsin State Herbarium","Herbarium","58402fe3-37c1-4d15-9e07-0ff1c4c9fb11, 62254613-2696-4834-8c58-5c465f70df56, 9e5aede6-bee5-4a3d-a255-513771b20035","{""recordset"":[""58402fe3-37c1-4d15-9e07-0ff1c4c9fb11"",""62254613-2696-4834-8c58-5c465f70df56"",""9e5aede6-bee5-4a3d-a255-513771b20035""]}","WIS<IH>","","urn:uuid:86ab3cf2-822a-46f1-a0ba-39d4c5abdef4","urn:lsid:biocol.org:col:15628","http://www.botany.wisc.edu/herbarium","http://www.botany.wisc.edu/herb/specimenSearch.html","","",NA,NA,"","","","Kenneth Cameron","Director","kmcameron@wisc.edu","Botany Department, 160 Birge Hall, 430 Lincoln Drive","Madison","Wisconsin","53706-1381","430 Lincoln Drive.","Madison","Wisconsin","53706-1381","urn:uuid:863a8746-d0c0-4f63-8ea4-1101e28a9fa6","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126905","","",43.0631,-89.4199,488490,"plantae"
"University of North Carolina","Herbarium","333ac26a-30bc-4e0c-a6ef-c57a40f6bd99, 645bcd10-a74f-4207-a375-0254b954b7ad, df516dc6-6ef0-426d-94e3-8a2bbb0439a5, 9ff03c57-ba5a-4127-9439-4bf3e838c4df, 4e3043a6-d48a-4a35-b5fb-f67d50cbc158","{""recordset"":[""333ac26a-30bc-4e0c-a6ef-c57a40f6bd99"",""645bcd10-a74f-4207-a375-0254b954b7ad"",""df516dc6-6ef0-426d-94e3-8a2bbb0439a5"",""9ff03c57-ba5a-4127-9439-4bf3e838c4df"",""4e3043a6-d48a-4a35-b5fb-f67d50cbc158""]}","NCU<IH>","","urn:uuid:eb3b926c-2545-48e8-afc4-67ab1d4f0c39","urn:lsid:biocol.org:col:15495","http://www.herbarium.unc.edu","http://www.herbarium.unc.edu/types.htm","Macrofungi (17,000 specimens; Southeastern United States, esp. collections of Wm. Chambers Coker and John Nathaniel Couch; available at mycoportal.org); Microfungi (ca. 20,000; currently being imaged & databased to mycoportal.org in 2015); Algae (33,000 + specimens; red marine temperate algae worldwide, esp. collections of Max Hommersand and Paul W. Gabrielson, currently being imaged & databased at macroalgae.org in 2015); Bryophytes (3,000 specimens, esp. Southeastern United States; available at bryophyteportal.org); Lichens (5,000 specimens, esp. Southeastern United States and collections of Gary Perlmutter; available at lichenportal.org); Vascular Plants (ca. 600,000 specimens, worldwide but focus on Southeastern United States; currently being imaged & databased at sernecportal.org). Worldwide","",678000,TRUE,"Macrofungi (17,000 specimens; Southeastern United States, esp. collections of Wm. Chambers Coker and John Nathaniel Couch; available at mycoportal.org); Microfungi (ca. 20,000; currently being imaged & databased to mycoportal.org in 2015); Algae (33,000 + specimens; red marine temperate algae worldwide, esp. collections of Max Hommersand and Paul W. Gabrielson, currently being imaged & databased at macroalgae.org in 2015); Bryophytes (3,000 specimens, esp. Southeastern United States; available at bryophyteportal.org); Lichens (5,000 specimens, esp. Southeastern United States and collections of Gary Perlmutter; available at lichenportal.org); Vascular Plants (ca. 600,000 specimens, worldwide but focus on Southeastern United States; currently being imaged & databased at sernecportal.org).","Worldwide","678000","Carol Ann McCormick","Curator","mccormick@unc.edu","North Carolina Herbarium, CB 3280, Coker Hall","Chapel Hill","North Carolina","27599-3280","North Carolina Herbarium, 120 South Road","Chapel Hill","North Carolina","27599-3280","urn:uuid:9205ccf9-ec84-4359-970d-1dc107d08b44","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126763","","",35.5228,-78.7338,439686,"plantae"
"Bernice Pauahi Bishop Museum","Botany","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a","{""recordset"":[""a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a""],""collectioncode"":[""BISH""]}","BPBM","BISH","urn:uuid:68b8a3d1-e924-4892-88f4-ee10a136737a","http://grbio.org/cool/itdw-jwds","http://www.bishopmuseum.org/research/natsci/botany/index.html","http://nsdb.bishopmuseum.org/","Hawaii, Pacific bassin","",730000,NA,"","Hawaii, Pacific bassin","730000","Barbara Kennedy","Collections Manager","bkennedy@bishopmuseum.org","1525 Bernice Street","Honolulu","Hawaii","96817","1525 Bernice Street","Honolulu","Hawaii","96817","urn:uuid:cbcf115d-5f3e-4839-9579-b5c47d2beb42","","","","","","",21.333,-157.8693,439508,"plantae"
