"count","institution","collection","collection_link"
12,"University of California Santa Cruz","Fungi","https://www.idigbio.org/portal/collections/c8959be3-d81d-48d2-9c81-aaeaf87955ac"
19,"Kaibab National Forest","Herbarium","https://www.idigbio.org/portal/collections/34a9ffba-6e29-4b97-93da-daf99fffb8bc"
22,"University of Minnesota, James Ford Bell Museum of Natural History","Algae","https://www.idigbio.org/portal/collections/f44268e6-be13-487a-89a6-4890add10df3"
23,"University of Montana","Paleontology","https://www.idigbio.org/portal/collections/6b853180-79a9-4e06-a4c1-81d64e2900e0"
29,"Chicago Academy of Sciences","Ichthyology","https://www.idigbio.org/portal/collections/3692457e-a6c4-466b-b7ca-b2f2e00180cc"
37,"University of Wisconsin-Oshkosh","Insects","https://www.idigbio.org/portal/collections/5002ccae-0483-11e5-b0ee-002315492bbc"
37,"College of the Atlantic, George B. Dorr Museum","Entomology","https://www.idigbio.org/portal/collections/775c950b-a9ef-4923-8a1e-89e49c2acf15"
44,"University of Wisconsin, Insect Research Collection","Entomology","https://www.idigbio.org/portal/collections/21672781-fef6-49e9-9c98-5843cb6e6e5e"
60,"New Mexico Natural History Institute","Herbarium","https://www.idigbio.org/portal/collections/a5b59b0d-957c-4949-b097-ce4fea8a6170"
61,"College of the Atlantic, George B. Dorr Museum","Herpetology","https://www.idigbio.org/portal/collections/ea55b0a7-08fe-4802-827a-88fab8f1cdea"
97,"Delaware Museum of Natural History","Eggs","https://www.idigbio.org/portal/collections/bae3ae80-fe39-11e4-ac7a-002315492bbc"
99,"Eastern Illinois University, Stover Ebinger Herbarium","Fungi and Lichens","https://www.idigbio.org/portal/collections/6700e75e-5a1a-4cd3-95ac-35815235f29f"
119,"College of the Atlantic, George B. Dorr Museum","Eggs","https://www.idigbio.org/portal/collections/ec1e54d4-02f5-44b2-9adf-2f2e655697eb"
133,"Black Hills State University","Herbarium","https://www.idigbio.org/portal/collections/ff12fb31-9dc1-4fd3-9de2-061eed090bc7"
140,"Iowa State University","Insects","https://www.idigbio.org/portal/collections/ae58c6ed-022f-4e47-ae7c-d26aea30ddd6"
150,"University of Minnesota, James Ford Bell Museum of Natural History","Paleobotany","https://www.idigbio.org/portal/collections/885d2da2-8bba-4b83-98ed-bfcef6325629"
151,"Chicago Academy of Sciences","Plants","https://www.idigbio.org/portal/collections/0336ef27-b97e-45f5-be30-d3ef4703aea9"
151,"University of Texas at El Paso Biodiversity Collections","Zooplankton","https://www.idigbio.org/portal/collections/723c4d7c-e736-4de8-9ee7-7dca44b0c9c2"
152,"California State University East Bay Natural History Museum","Entomology","https://www.idigbio.org/portal/collections/7bf1eb60-183d-448b-8d2e-bc769f31c622"
156,"Wake Forest University","Herbarium","https://www.idigbio.org/portal/collections/aaf861de-32ca-4b61-9fa5-73ec65afbc25"
158,"University of North Carolina at Asheville","Herbarium","https://www.idigbio.org/portal/collections/86cc64f7-7479-4ddb-bb02-b336111d94d6"
159,"Buffalo Museum of Science","Herpetology","https://www.idigbio.org/portal/collections/646328b9-885b-4eab-ae2a-712b3b0c1b6a"
167,"Utah State University Eastern","Herbarium","https://www.idigbio.org/portal/collections/100de61f-a5bd-491d-ab1a-ee86934e9d38"
180,"Southwestern Regional Forest Service","Herbarium","https://www.idigbio.org/portal/collections/9abee45d-7681-4a4e-9b68-df943da0f488"
183,"Youngstown State University","Herbarium","https://www.idigbio.org/portal/collections/9f334ac2-d273-4b12-aa0e-be655f4d2615"
